"镜头编号","生成单元","对应剧本内容","时长秒","场景或视图","画面设计","人物站位表演与原台词","调用资产","同期声","结尾状态或剪辑衔接"
"AI02-SH01","镜头组G01","清晨龙水湖、岛群、薄雾与白鹭建立","3.5","QNXY-SCN-P0-005-V-MASTER；白鹭湖面意境","龙水湖场景大远景；28mm；略高机位；极慢推近。层山、岛群与湖道形成三层纵深，局部白鹭掠过树冠和水面","无人物，无同期台词；湖面只出现细碎暖灰金反光，雾集中在远山脚与水道上方","QNXY-SCN-P0-005；QNXY-ANM-P1-001；QNXY-LGT-P0-006；QNXY-REF-051/052","湖风、远水、零散白鹭声","一只白鹭向画外飞离，以翅声和湖风硬切到院内"
"AI02-SH02","镜头组G01","林如蔚在小院整理晒干药草","3.5","QNXY-SCN-P0-005-V-EXIT-COURTYARD；药草桌中景","林如蔚中景；50mm；药草桌侧前方平视；短距离横移后停住。药草桌、主屋、大树和篱笆露天开口方向可读","林如蔚坐在药草桌旁，双手分束并理齐药草，动作熟练安静，无同期台词；低角度晨光穿过树叶落成少量斑驳碎光","QNXY-CHR-P0-002；QNXY-CST-P0-002；QNXY-PRP-P1-004；QNXY-LGT-P0-006；QNXY-REF-047/062","药草与竹匾摩擦、树叶轻响、远湖底噪","林如蔚将一束药草放入竹匾，手回到下一束上方"
"AI02-SH03","镜头组G01","远湖小舟归来，苏珏站在船头","3.0","QNXY-SCN-P0-005-V-LAKE-TO-SHORE；REF-057湖面看小院全景","临湖小院与归舟场景远景；50mm；湖面低机位；缓慢推近。小院、中央临水台阶与小舟形成清楚的归家方向","苏珏站在船头右手持蓝色包袱，随船轻微调整重心；一名年长船工在船尾操桨；苏珏尚未挥手，无同期台词","QNXY-CHR-P0-001；QNXY-CST-P0-001；QNXY-VEH-P0-001；QNXY-CRO-P1-003；QNXY-PRP-P2-008；QNXY-LGT-P0-006；QNXY-REF-048/057/058/063","远处桨水声、低弱船板声、湖风","小舟仍在湖中，船头继续朝向小院中央临水台阶，船桨入水声作为声音接点切回药草桌"
"AI02-SH04","镜头组G02","林如蔚先听见远处桨声，整理动作停下","2.5","QNXY-SCN-P0-005-V-EXIT-COURTYARD；药草桌局部","林如蔚双手与药草动作近景；70mm；手部高度平视；固定机位","林如蔚手指原本在理顺药草，远桨声进入后动作自然停住半拍；无同期台词","QNXY-CHR-P0-002；QNXY-CST-P0-002；QNXY-PRP-P1-004；QNXY-LGT-P0-006；QNXY-REF-047/062","药草摩擦声渐停、远桨声变清楚","双手保持在药草上方，剪辑点落在动作停住的半拍"
"AI02-SH05","镜头组G02","林如蔚辨认出归舟并起身","3.0","QNXY-SCN-P0-005-V-EXIT-COURTYARD；药草桌至篱笆露天开口方向","林如蔚中近景；65mm；三分之四侧面平视；极轻推近","林如蔚侧耳，抬眼看向湖面方向，眼神亮起后起身；无同期台词。动作克制，不猛然转头","QNXY-CHR-P0-002；QNXY-CST-P0-002；QNXY-LGT-P0-006；QNXY-REF-047/059/062","远桨、水声、木凳轻响、衣料声","林如蔚起身完成，身体朝篱笆露天开口方向转好"
"AI02-SH06","镜头组G02","林如蔚从药草桌走到篱笆露天开口旁","3.0","QNXY-SCN-P0-005-V-EXIT-COURTYARD；桌至篱笆露天开口动作通道","林如蔚全身景；35mm；院内侧后方机位；短距离跟移。主屋、大树、药桌与低矮篱笆关系保持不变","林如蔚从药草桌快步走到低矮篱笆露天开口旁的平整院地并停下；不下石路、不去岸边；无同期台词","QNXY-CHR-P0-002；QNXY-CST-P0-002；QNXY-SCN-P0-005；QNXY-LGT-P0-006；QNXY-REF-047/059/061","土地脚步、裙摆与腰饰轻响、远桨声","林如蔚停在篱笆露天开口旁，视线越过石路看向远湖"
"AI02-SH07","镜头组G03","林如蔚在篱笆露天开口旁向仍在湖中的苏珏挥手","3.0","QNXY-SCN-P0-005-V-LAKE-TO-SHORE；小院正面视图","林如蔚正面中景；65mm；湖侧朝向小院的平视固定机位。背景只保留开放小院、主屋、药草桌和大树，不强带远舟关系","林如蔚独自站在篱笆露天开口旁的平整院地，确认远湖小舟后抬右手小幅挥动；湖风从湖面吹向小院，只带动鬓边少量碎发、长辫末端和袖缘；无同期台词","QNXY-CHR-P0-002；QNXY-CST-P0-002；QNXY-LGT-P0-006；QNXY-REF-047/061","开阔湖风、远桨水声、袖料轻响","林如蔚手臂自然放松，仍站在篱笆露天开口旁，视线保持向湖面"
"AI02-SH08","镜头组G03","苏珏在船头抬手回应","2.5","QNXY-SCN-P0-005-V-SHORE-TO-LAKE；湖中船头反打","苏珏中景；100mm；岸边长焦反打；轻微随船漂移。苏珏为主体，船工在后景","苏珏右手继续持包，空出的左手小幅抬起回应；笑意克制，身体保持平衡。湖风轻动脸侧碎发、长发末端和衣袖；无同期台词","QNXY-CHR-P0-001；QNXY-CST-P0-001；QNXY-VEH-P0-001；QNXY-CRO-P1-003；QNXY-PRP-P2-008；QNXY-LGT-P0-006；QNXY-REF-048/058/063","桨水、船板、衣袖和湖风","苏珏左手放回身体一侧，右手持包状态不变"
"AI02-SH09","镜头组G04","小舟向固定停靠点接近，林如蔚继续等待","3.5","QNXY-SCN-P0-005-V-LAKE-TO-SHORE；REF-057湖面看小院全景","临湖小院与归舟场景大远景；50mm；湖面低机位；缓慢推近。中央临水台阶连接小院与湖面，小舟沿中央轴接近","林如蔚站在中央临水台阶上端、低矮篱笆露天开口旁的平整院地，远景小比例安静等待；苏珏保持船头站立，船工在船尾连续操桨；无同期台词","QNXY-CHR-P0-001/002；QNXY-CST-P0-001/002；QNXY-VEH-P0-001；QNXY-CRO-P1-003；QNXY-PRP-P2-008；QNXY-LGT-P0-006；QNXY-REF-047/048/057/058/063","桨声逐渐变近、船头破水、小浪声","小舟进入临水台阶前方水域，船工准备减桨；林如蔚保持原位等待"
"AI02-SH10","镜头组G04","小舟减速、轻触水岸并停稳","2.5","QNXY-SCN-P0-005-V-SHORE-TO-LAKE；REF-056停靠点","小舟船帮、青石岸与水线动作中景；55mm；略低平视；固定机位","船工减桨并用长桨轻撑稳船；小舟只轻晃一次后停稳。苏珏等待船体稳定，不提前下船；本镜不出现林如蔚，无同期台词","QNXY-CHR-P0-001；QNXY-VEH-P0-001；QNXY-CRO-P1-003；QNXY-PRP-P2-008；QNXY-LGT-P0-006；QNXY-REF-048/056/058/063","木桨收水、船板轻响、水拍青石","船体稳定，苏珏把重心移向靠岸一侧，形成下船动作起点"
