"镜头编号","生成单元","对应剧本内容","时长秒","场景或视图","画面设计","人物站位表演与原台词","调用资产","同期声","结尾状态或剪辑衔接"
"AI03-SH03","镜头组G02","快速逃难百姓逼近","3.0","场景使用名：快速逃难人群；QNXY-SCN-P1-006-V-STREET-DEPTH逃难中景","逃难百姓群像中景；50mm；坡道上方机位小幅后退；近前景人物擦镜形成速度层；实际受光为冷灰阴天天空散射光","抱幼儿妇女、负重男子与被搀扶老者朝坡上快步或短促小跑；每人只通过一次","QNXY-REF-078；QNXY-SCN-P1-006；QNXY-CRO-P1-001；QNXY-PRP-P2-010","密集布鞋踏石、喘息、粗布、包袱、木箱、幼儿低泣和不可辨催促","抱幼儿妇女进入中前景；硬切街巷宽景"
"AI03-SH04","镜头组G02","六名军士逆向奔赴前线；逃难群众主动避让","4.0","场景使用名：军民逆向街巷；QNXY-SCN-P1-006-V-STREET-DEPTH军民逆向宽景","六名南宋军士与逃难百姓街巷宽景；35mm；略低平视固定后轻推；左侧军士与右侧百姓形成相反方向；实际受光为冷灰阴天天空散射光","六名军士沿左侧跑向坡下前线；右侧百姓朝坡上撤离并护住孩子与包袱让出窄通道","QNXY-REF-076；QNXY-SCN-P1-006；QNXY-CRO-P1-001；QNXY-LGT-P1-007","六组重靴、甲片、枪杆、百姓散开脚步；画外军士领队只喝令一次“让路！”","六名军士跑过通道一半；群众贴向右侧"
"AI03-SH05","镜头组G02","军士跑过与群众避让动作落点","3.0","场景使用名：军民逆向街巷；QNXY-SCN-P1-006-V-STREET-DEPTH动作近景","军靴、百姓腿脚与负重道具动作近景；85mm；沿左侧通道短距离横移；实际受光为冷灰阴天天空散射光","左侧军靴甲摆连续通过；右侧百姓后撤半步、抱高幼儿、收紧包袱并拖开木箱；不碰撞","QNXY-REF-076；QNXY-CRO-P1-001；QNXY-PRP-P2-010","靴底踏湿石、甲摆、木箱刮石、包袱收紧和急促呼吸逐一同步","最后一只军靴离开；重靴声向坡下远去"
"AI03-SH06","镜头组G03","苏珏独自站在墙上招募告示前仔细阅读","4.0","场景使用名：读告示街巷；QNXY-SCN-P1-006-V-NOTICE-WALL","苏珏与墙上招募告示人物中景；65mm；斜向墙面轻推；告示和苏珏处于同一清楚平面；实际受光为冷灰阴天天空散射光","苏珏位于中央偏左预留站位，以三分之二侧背身阅读；右侧群众快速经过但不遮挡","QNXY-REF-079/084；QNXY-CHR-P0-001；QNXY-CST-P0-003；QNXY-PRP-P0-005","远层脚步、木箱、粗布、幼儿低泣；苏珏呼吸逐渐清楚","苏珏目光停在正文下部"
"AI03-SH07","镜头组G03","看清告示“招募義士”","2.5","场景使用名：读告示街巷；QNXY-SCN-P1-006-V-NOTICE-WALL告示特写","苏珏右肩与墙上招募告示过肩特写；100mm；苏珏右肩轻度虚焦；繁体标题清楚；实际受光为冷灰阴天天空散射光","苏珏不说话；右肩极轻前移准备抬手；告示毛边被气流掀动一次","QNXY-REF-079/084；QNXY-PRP-P0-005；QNXY-CHR-P0-001","纸边被风掀动、近处呼吸和远层逃难声","右肩前移；硬切手部"
"AI03-SH08","镜头组G03","苏珏伸手触摸墙上告示","3.5","场景使用名：读告示街巷；QNXY-SCN-P1-006-V-NOTICE-WALL手部特写","苏珏右手与墙上招募告示动作特写；85mm；沿墙面斜侧固定；实际受光为冷灰阴天天空散射光","右手抬起；食指和中指指腹触纸；掌侧轻贴并压住毛边；告示不在本镜撕下","QNXY-REF-079/084；QNXY-CHR-P0-001；QNXY-PRP-P0-005","衣袖抬起、指腹摩擦粗纸、纸张受压、木墙细响与呼吸","手指停在纸面；以纸张动作匹配剪辑"
"AI03-SH09","连续单镜头G04","苏珏冒雨沉重走到廊亭台阶前；亭内已有林如蔚","5.0","场景使用名：廊亭雨天背视图；QNXY-SCN-P0-007-V-BACK林间石路雨天接近段","苏珏、低垂告示与亭内林如蔚双层人物中全景；65mm；右后侧极缓慢跟移；实际受光为场景冷灰雨天天空散射光与灯笼微弱暖光","苏珏在台阶前三至四步缓慢走三步，步幅短而沉；右手告示低垂贴腿且纸面朝内；林如蔚在亭内右栏杆背湖等待，愁云惨淡且不回头","QNXY-REF-069/077/083/084；QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-PRP-P0-005","街巷声硬切为稳定雨声、树叶承雨、三步沉重湿石脚步、湿衣、纸边与压低呼吸","苏珏停在最下一级台阶前；林如蔚仍在亭内；两人同框"
"AI03-SH10","镜头组G05","持续降雨中的临水廊亭、湖面与林如蔚等待背影","3.0","场景使用名：廊亭雨天湖面氛围；QNXY-SCN-P0-007-V-MASTER持续雨天氛围","林如蔚背影与雨中湖面、廊亭环境大远景；50mm；固定极慢推近；实际受光为冷灰雨天天空散射光与构图内灯笼微弱暖光","林如蔚以小比例背影静立亭内右栏杆旁，肩背微沉、双手停在身前、不转身、不微笑；苏珏不在画面内","QNXY-REF-069/080；QNXY-CHR-P0-002；QNXY-CST-P0-004；QNXY-SCN-P0-007；QNXY-LGT-P0-008；QNXY-PRP-P2-009","湖面雨声、树叶承雨、檐滴和远水","一股檐水落入湖面；林如蔚仍背湖静立"
"AI03-SH11","镜头组G05","苏珏从台阶前缓慢沉重进入廊亭；林如蔚背湖等待","4.0","场景使用名：廊亭雨天背视图；QNXY-SCN-P0-007-V-BACK持续雨天状态","苏珏入亭与林如蔚背湖双人全景；40mm；湖侧平视固定后极轻推；实际受光为冷灰雨天天空散射光与四盏灯笼微弱暖光","林如蔚在右栏杆背向入口面湖；苏珏从最下一级台阶缓慢走两步入檐，步幅短而沉，停在她身后三步；告示低垂贴右腿、纸面朝内、不展示","QNXY-REF-069/077/083/084；QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-PRP-P0-005","两步缓慢湿石脚步、湿衣摆、低垂纸边、呼吸、瓦面雨声和檐滴","苏珏在檐内停稳并低头压住呼吸；林如蔚仍背对他"
"AI03-SH12","镜头组G05","林如蔚以没有惊讶的愁绪缓慢转身","3.0","场景使用名：廊亭雨天正视图；QNXY-SCN-P0-007-V-FRONT持续雨天状态","林如蔚转身与苏珏停立双人关系中景；70mm；入口方向看湖面轻推；实际受光为冷灰雨天天空散射光与四盏灯笼微弱暖光","林如蔚缓慢左转，看见苏珏后没有惊讶，眉间愁结加深、眼神悲凉、不微笑；苏珏三步外先垂眼再看她；低垂告示不进入两人视线之间","QNXY-REF-069/081/083/084；QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004；QNXY-PRP-P0-005","瓦面雨声、檐滴、衣料转身、一次轻微吸气和压低呼吸；苏珏脚步不重复","两人无言相望并保持同一层愁绪"
"AI03-SH13","镜头组G06","苏珏与林如蔚相隔三步停立","4.0","场景使用名：廊亭雨天正左侧视图；QNXY-SCN-P0-007-V-LEFT持续雨天状态","苏珏与林如蔚侧向双人中全景；50mm；廊柱边缘向右横移；实际受光为冷灰雨天天空散射光与四盏灯笼微弱暖光","苏珏完整站在左侧入口内，双臂自然垂落；林如蔚完整站在右侧靠湖栏杆旁，双手停在身前；两人相隔三步；苏珏先看她再垂眼，肩线下沉、嘴唇轻抿；林如蔚眉间轻蹙、眼睑微垂、唇线平直","QNXY-REF-069/082/083；QNXY-CHR-P0-001/002；QNXY-CST-P0-003/004","湿衣料、两人呼吸、瓦面雨声、檐滴和灯笼轻响","苏珏缓慢吸气并重新抬眼；林如蔚保持原位看着他"
